Comuna,Población,Zona,Localización Geográfica,Comuna Metropolitana ,Dependencia FCM (%),Gasto municipal M$/hab.,ICVU2018,CL,AN,CS,CM,SM,VE,RANGO,Ciudad Metropolitana,Tipo,RANKING
Alto Hospicio,108375,Norte,Costa,Solo  metropolitana,55.60,109.50,40.236632579535,48.0560189544603,8.56021513272221,41.5172536463892,58.8228972926088,57.6949249634073,17.1419613030171,INFERIOR,Tarapacá,1,76
Angol,53262,Sur,Interior,Solo no metropolitana,69.70,170.20,43.2151242340905,37.5193089918137,14.5286711085835,58.9034295840151,46.2507067115313,60.8868410474767,34.1241233184396,SUPERIOR,Araucanía,1,56
Antofagasta,361873,Norte,Costa,Solo  metropolitana,14.30,187.30,45.9592291533446,38.7511233888088,21.264942093189,35.0019391706442,80.2726466059658,47.5200970064969,39.5642395669651,PROMEDIO,Antofagasta,1,41
Arica,221364,Norte,Costa,Solo no metropolitana,46.20,113.30,45.3336344732652,38.8057522138444,19.295988059019,42.6493329716745,74.0489873104377,56.7681004129541,29.5648302523318,PROMEDIO,Arica y P,1,42
Buin,96614,Centro,Interior,Solo  metropolitana,21.90,171.20,35.8141325378984,31.9968152999414,30.9004724652226,42.8269093518511,18.4492355672061,52.3213910465904,38.5745424592238,PROMEDIO,RM,1,87
Calama,165731,Norte,Interior,Solo no metropolitana,20.60,171.90,48.1616581210307,44.5199948011941,19.3391318513208,45.9081649844018,85.4367386160604,49.446227139221,32.1963680326256,PROMEDIO,Antofagasta,1,29
Castro,43807,Sur,Costa,Solo no metropolitana,58.20,249.10,48.7246829867509,51.7761429859915,17.1712404266325,65.4363055130635,60.3430527495784,53.8913095437434,36.2541404600359,SUPERIOR,De los Lagos,1,19
Cerrillos,80832,Centro,Interior,Solo  metropolitana,16.40,190.00,45.3227338237566,24.4380226855752,22.5804485580268,39.6699692325933,68.2758449848343,60.6427531627944,43.9151281800382,INFERIOR,RM,1,43
Cerro Navia,132622,Centro,Interior,Solo  metropolitana,79.20,134.20,36.3315623312468,18.5958699151253,1.72024557117245,47.6705992335865,63.6762617504362,51.1444635956056,22.961409533805,INFERIOR,RM,1,86
Chiguayante,85938,Sur,Costa,Solo  metropolitana,58.70,116.00,46.5580919285253,33.8440709233071,9.60600395287202,49.5395393413509,67.9703257378471,61.6701456854916,41.8976843657207,PROMEDIO,Bíobío,1,38
Chillán,184739,Sur,Interior,Solo  metropolitana,45.20,125.40,43.0904270709292,25.1771771802241,17.5343894690663,54.1475477439864,55.6450653672489,57.8836993824986,39.2037289743713,PROMEDIO,Bíobío,1,57
Chillán Viejo,30907,Sur,Interior,Solo  metropolitana,55.30,124.90,47.1088311266535,46.9029556037533,5.72072653890139,44.7223475230437,57.005523608115,74.8202935290045,38.1350473009834,PROMEDIO,Bíobío,1,35
Colina,146207,Centro,Interior,Solo  metropolitana,11.00,196.70,39.1797077014439,20.9650921228786,30.0553582830073,40.3333792638876,43.6309410855629,47.2404917433028,47.2488969148854,PROMEDIO,RM,1,80
Concepción,223574,Sur,Costa,Solo  metropolitana,11.40,137.30,51.8855008785789,37.017495940656,23.0294784343658,48.9130116140224,70.3920797791199,66.0943626455134,52.331916162291,SUPERIOR,Bíobío,1,13
Conchalí,126955,Centro,Interior,Solo  metropolitana,41.70,163.10,40.5388653119207,25.7496670520109,5.22368306900194,44.7566267159893,66.1922658735365,58.3153600714889,29.2364271404481,INFERIOR,RM,1,74
Concón,42152,Centro,Costa,Solo  metropolitana,13.40,171.00,48.4338827566924,18.4501270770361,42.3808622526634,33.1069117764321,77.0834661590044,48.2137405675358,60.6764530491283,SUPERIOR,Valparaíso,1,24
Copiapó,153937,Norte,Interior,Solo no metropolitana,35.10,147.10,48.564680221812,50.7001129698614,14.6889226289125,56.7275215330204,78.342415011191,45.4616860906473,34.3436851842471,PROMEDIO,Atacama,1,21
Coquimbo,227730,Norte,Costa,Solo  metropolitana,38.50,143.60,44.6966018705804,36.069190247003,18.0574698779614,48.3340364611364,68.5231609083012,45.6911065555395,40.6680524354056,PROMEDIO,Coquimbo,1,49
Coronel,116262,Sur,Costa,Solo  metropolitana,54.80,158.90,40.9893291473296,38.4556817584945,8.55758622229803,58.1371923828338,47.6895126578299,47.598848908155,36.8530019459729,PROMEDIO,Bíobío,1,69
