Nombre,Población,Zona,Localización Geográfica,Comuna Metropolitana,Dependencia FCM (%),Gasto municipal M$/hab.,ICVU2018,CL,AN,CS,CM,SM,VE,RANGO,Ciudad Metropolitana,Mostrar,RANKING,Mapa
Alto Hospicio,108375,Norte,Costa,Solo metropolitana,55.6,115.7,40.24,48.06,8.56,41.52,58.82,57.69,17.14,INFERIOR,Tarapacá,Comunas,76,-
Angol,53262,Sur,Interior,Solo no metropolitana,69.7,193.3,43.22,37.52,14.53,58.90,46.25,60.89,34.12,PROMEDIO,Araucanía,Comunas,56,-
Antofagasta,361873,Norte,Costa,Solo metropolitana,14.3,203.7,45.96,38.75,21.26,35.00,80.27,47.52,39.56,PROMEDIO,Antofagasta,Comunas,41,-
Arica,221364,Norte,Costa,Solo no metropolitana,46.2,139,45.33,38.81,19.30,42.65,74.05,56.77,29.56,PROMEDIO,Arica y P,Comunas,42,-
Buin,96614,Centro,Interior,Solo metropolitana,21.9,182.9,35.81,32.00,30.90,42.83,18.45,52.32,38.57,INFERIOR,RM,Comunas,87,AMS
Calama,165731,Norte,Interior,Solo no metropolitana,20.6,221.7,48.16,44.52,19.34,45.91,85.44,49.45,32.20,PROMEDIO,Antofagasta,Comunas,29,-
Castro,43807,Sur,Costa,Solo no metropolitana,58.2,314.5,48.72,51.78,17.17,65.44,60.34,53.89,36.25,PROMEDIO,De los Lagos,Comunas,19,-
Cerrillos,80832,Centro,Interior,Solo metropolitana,16.4,213.3,45.32,24.44,22.58,39.67,68.28,60.64,43.92,PROMEDIO,RM,Comunas,43,AMS
Cerro Navia,132622,Centro,Interior,Solo metropolitana,79.2,198.3,36.33,18.60,1.72,47.67,63.68,51.14,22.96,INFERIOR,RM,Comunas,86,AMS
Chiguayante,85938,Sur,Costa,Solo metropolitana,58.7,145.3,46.56,33.84,9.61,49.54,67.97,61.67,41.90,PROMEDIO,Bíobío,Comunas,38,AMC
Chillán,184739,Sur,Interior,Solo metropolitana,45.2,131.4,43.09,25.18,17.53,54.15,55.65,57.88,39.20,PROMEDIO,Bíobío,Comunas,57,-
Chillán Viejo,30907,Sur,Interior,Solo metropolitana,55.3,146.4,47.11,46.90,5.72,44.72,57.01,74.82,38.14,PROMEDIO,Bíobío,Comunas,35,-
Colina,146207,Centro,Interior,Solo metropolitana,11,206.9,39.18,20.97,30.06,40.33,43.63,47.24,47.25,INFERIOR,RM,Comunas,80,AMS
Concepción,223574,Sur,Costa,Solo metropolitana,11.4,161.7,51.89,37.02,23.03,48.91,70.39,66.09,52.33,SUPERIOR,Bíobío,Comunas,13,AMC
Conchalí,126955,Centro,Interior,Solo metropolitana,41.7,227,40.54,25.75,5.22,44.76,66.19,58.32,29.24,INFERIOR,RM,Comunas,74,AMS
Concón,42152,Centro,Costa,Solo metropolitana,13.4,227,48.43,18.45,42.38,33.11,77.08,48.21,60.68,PROMEDIO,Valparaíso,Comunas,24,AMV
Copiapó,153937,Norte,Interior,Solo no metropolitana,35.1,176.7,48.56,50.70,14.69,56.73,78.34,45.46,34.34,PROMEDIO,Atacama,Comunas,21,-
Coquimbo,227730,Norte,Costa,Solo metropolitana,38.5,155.4,44.70,36.07,18.06,48.33,68.52,45.69,40.67,PROMEDIO,Coquimbo,Comunas,49,-
Coronel,116262,Sur,Costa,Solo metropolitana,54.8,118.1,40.99,38.46,8.56,58.14,47.69,47.60,36.85,INFERIOR,Bíobío,Comunas,69,AMC
Coyhaique,57818,Sur,Interior,Solo no metropolitana,47.9,185,56.52,64.55,16.84,54.89,71.19,72.23,45.40,SUPERIOR,Aisén,Comunas,10,-
Curicó,149136,Sur,Interior,Solo no metropolitana,40.5,133.1,48.44,59.58,16.03,52.38,58.32,52.03,42.11,PROMEDIO,Maule,Comunas,23,-
El Bosque,162505,Centro,Interior,Solo metropolitana,70.8,130.3,38.43,23.56,4.82,46.03,63.87,65.36,15.62,INFERIOR,RM,Comunas,83,AMS
Estación Central,147041,Centro,Interior,Solo metropolitana,9.8,175.8,48.17,27.59,47.14,40.58,63.97,66.41,39.63,PROMEDIO,RM,Comunas,28,AMS
Hualpén,91773,Sur,Costa,Solo metropolitana,38.1,143.1,45.31,32.99,2.22,51.85,66.12,65.32,37.38,PROMEDIO,Bíobío,Comunas,44,AMC
Huechuraba,98671,Centro,Interior,Solo metropolitana,7.5,304.3,42.74,27.17,16.45,33.00,64.46,58.90,42.32,INFERIOR,RM,Comunas,58,AMS
Independencia,100281,Centro,Interior,Solo metropolitana,10.9,168.9,42.66,27.17,29.39,48.04,64.46,57.52,24.74,INFERIOR,RM,Comunas,59,AMS
Iquique,191468,Norte,Costa,Solo metropolitana,8.2,272.6,50.59,64.09,28.29,36.15,83.44,44.28,36.53,SUPERIOR,Tarapacá,Comunas,17,-
La Calera,50554,Centro,Interior,Solo no metropolitana,52.9,139.9,43.28,19.90,17.26,48.10,61.69,53.61,47.17,PROMEDIO,Valparaíso,Comunas,55,-
La Cisterna,90119,Centro,Interior,Solo metropolitana,16.3,131.2,42.09,25.28,20.93,49.11,64.38,58.83,26.46,INFERIOR,RM,Comunas,62,AMS
La Florida,366916,Centro,Interior,Solo metropolitana,45.4,203.8,48.34,31.86,18.06,38.96,71.36,71.45,43.15,PROMEDIO,RM,Comunas,26,AMS
La Granja,116571,Centro,Interior,Solo metropolitana,71.1,134.7,45.10,33.54,3.75,41.76,75.42,72.72,26.61,PROMEDIO,RM,Comunas,45,AMS
La Pintana,177335,Centro,Interior,Solo metropolitana,79.1,123.1,31.14,14.11,2.76,41.79,66.30,43.77,8.48,INFERIOR,RM,Comunas,93,AMS
La Reina,92787,Centro,Interior,Solo metropolitana,5.6,262.9,60.23,40.12,30.57,38.73,92.40,73.67,66.47,SUPERIOR,RM,Comunas,6,AMS
La Serena,221054,Norte,Costa,Solo metropolitana,28.7,228.4,47.13,38.68,25.02,44.09,63.18,47.77,53.09,PROMEDIO,Coquimbo,Comunas,34,-
Lampa,102034,Centro,Interior,Solo metropolitana,15.6,198.3,44.70,27.16,38.32,36.02,64.46,55.76,40.21,PROMEDIO,RM,Comunas,48,AMS
Las Condes,294838,Centro,Interior,Solo metropolitana,1.1,713.8,70.86,53.98,59.28,42.25,96.70,76.79,82.13,SUPERIOR,RM,Comunas,2,AMS
Linares,93602,Sur,Interior,Solo no metropolitana,55.5,133.6,42.32,49.57,13.94,43.54,46.94,54.10,36.54,INFERIOR,Maule,Comunas,61,-
Lo Barnechea,105833,Centro,Interior,Solo metropolitana,1.7,625.7,63.44,40.12,43.96,34.75,92.40,60.87,89.43,SUPERIOR,RM,Comunas,4,AMS
Lo Espejo,98804,Centro,Interior,Solo metropolitana,64.5,137.5,39.09,24.44,1.55,41.22,68.28,59.33,24.80,INFERIOR,RM,Comunas,81,AMS
Lo Prado,96249,Centro,Interior,Solo metropolitana,64.2,262.8,42.03,24.44,7.19,39.11,68.28,70.16,28.00,INFERIOR,RM,Comunas,63,AMS
Los Andes,66708,Centro,Interior,Solo no metropolitana,51.4,157.3,50.60,46.20,21.04,53.26,63.26,62.50,46.32,SUPERIOR,Valparaíso,Comunas,16,-
Los Ángeles,202331,Sur,Interior,Solo no metropolitana,46.2,144.4,44.63,39.87,13.44,54.22,45.38,67.06,38.53,PROMEDIO,Bíobío,Comunas,50,-
Lota,43535,Sur,Costa,Solo metropolitana,74.2,280.5,41.91,38.22,4.99,59.36,59.84,47.59,31.05,INFERIOR,Bíobío,Comunas,64,AMC
Machalí,52505,Centro,Interior,Solo metropolitana,22.6,147.9,51.61,75.13,17.35,41.91,53.73,50.61,57.59,SUPERIOR,O'Higgins,Comunas,14,-
Macul,116534,Centro,Interior,Solo metropolitana,15.7,246,50.19,24.47,17.67,43.42,79.83,74.46,44.67,PROMEDIO,RM,Comunas,18,AMS
Maipú,521627,Centro,Interior,Solo metropolitana,41.3,202.6,48.36,28.87,12.53,46.13,68.10,74.86,43.80,PROMEDIO,RM,Comunas,25,AMS
Melipilla,123627,Centro,Interior,Solo no metropolitana,52.4,199.9,36.51,34.19,10.51,44.54,30.52,65.62,26.94,INFERIOR,RM,Comunas,85,-
Ñuñoa,208237,Centro,Interior,Solo metropolitana,7.1,206.7,59.89,30.37,36.85,45.76,85.67,77.01,67.70,SUPERIOR,RM,Comunas,7,AMS
Osorno,161460,Sur,Interior,Solo no metropolitana,33.9,148.6,44.29,29.51,13.86,54.16,59.71,48.51,48.32,PROMEDIO,De los Lagos,Comunas,51,-
